generic_name,unit,auto_calculate,route,reference_regimen,warnings,source_name,source_edition,source_ref,name_ar,aliases,antidote,contraindications,interactions,high_risk
somatropin (recombinant human growth hormone),unit,no,"Subcutaneous injection only; rotate sites (abdomen, thigh, upper arm/buttock) to prevent lipoatrophy. Reconstitute/insert the cartridge into the matching pen device; do not shake — swirl gently; inspect for clarity (discard if cloudy/particulate). Usually given in the evening to mimic physiological GH secretion; once-daily dosing. Store/handle per device instructions; the 5 mg cartridge is colour-coded to its pen.","Therapeutic class: Recombinant human growth hormone (somatotropin) — pituitary hormone / growth stimulant. | Indications: Paediatric: growth failure from growth -hormone deficiency (GHD), Turner syndrome, Prader-Willi syndrome, chronic renal insufficiency, SHOX deficiency, Noonan syndrome, idiopathic short stature, and children born small-for-gestational-age (SGA) with no catch-up growth by 2–4 years. Adult: confirmed GHD (childhood- or adult-onset). Also AIDS-associated wasting/cachexia (per label). | Dosage form and strength: Injection 5 mg/1.5 mL (15 international units/1.5 mL) cartridge (3.33 mg/mL); for SC use via pen device. (Note: 1 mg ≈ 3 international units.) | Adult dosing: Given by SC injection, dose individualised and titrated to clinical response and IGF-1. GHD (non-weight-based, preferred): start 0.2 mg/day (0.15–0.3 mg/day), increase in steps of ~0.1–0.2 mg/day at 1–2 monthly intervals to response/IGF-1. GHD (weight-based alternative): ≤0.04 mg/kg/week, may increase to ≤0.08 mg/kg/week, divided over 6–7 days. Use lower starting doses in the elderly, obese, and (less in men) than oestrogen-replete women; oral oestrogen raises requirement. | Pediatric dosing: By daily SC injection; weekly dose divided over 6–7 days. Indication- specific weekly maxima: GHD: ~0.16–0.24 mg/kg/week (≈ 0.024–0.034 mg/kg/day). Turner syndrome: up to 0.375 mg/kg/week. Prader-Willi syndrome: ~0.24 mg/kg/week. Chronic renal insufficiency: up to 0.35 mg/kg/week. 268 SHOX deficiency: 0.35 mg/kg/week; Idiopathic short stature: up to 0.37 mg/kg/week. Small-for-gestational-age (SGA): up to 0.47 mg/kg/week (often start 0.48 mg/kg/week in very short children). | Renal/hepatic adjustment: Renal: chronic renal insufficiency is itself an indication — use the CRI regimen; continue until renal transplant. Hepatic: no specific dose adjustment; use with caution. | Administration: Subcutaneous injection only; rotate sites (abdomen, thigh, upper arm/buttock) to prevent lipoatrophy. Reconstitute/insert the cartridge into the matching pen device; do not shake — swirl gently; inspect for clarity (discard if cloudy/particulate). Usually given in the evening to mimic physiological GH secretion; once-daily dosing. Store/handle per device instructions; the 5 mg cartridge is colour-coded to its pen. | Prescriber authority: Restricted to specialist (paediatric/adult endocrinology) initiation and supervision. | Additional notes: 1 mg ≈ 3 international units (so 5 mg = 15 IU). Dose is individualised and titrated to growth response and IGF -1, NOT fixed. Discontinue growth-promotion once epiphyses fuse. Avoid in acute critical illness (increased mortality). Monitor glucose, thyroid and (in children) for limp/hip or visual symptoms. 269","Cautions and warnings: Risk of intracranial hypertension (papilloedema — do fundoscopy), slipped capital femoral epiphysis and scoliosis progression in children; glucose intolerance/new diabetes; fluid retention (oedema, arthralgia, carpal tunnel, esp. adults); unmasking of central hypothyroidism and hypoadrenalism; pancreatitis (esp. girls with Turner); benzyl -alcohol- containing diluents not for neonates (gasping syndrome). | Adverse drug reactions: Injection-site reactions/lipoatrophy, fluid retention (oedema, arthralgia, myalgia, carpal tunnel), headache, intracranial hypertension, hyperglycaemia/insulin resistance, hypothyroidism, antibody formation; rare pancreatitis, SCFE. | Monitoring: Height velocity/growth (children) and bone age; IGF -1 (target mid - normal for age/sex); fasting glucose/HbA1c; thyroid function (TSH/free T4); fundoscopy if symptoms; serum cortisol/adrenal status; lipids; Prader-Willi — weight and respiratory/sleep assessment. | Pregnancy category: C (Genotropin B) — limited data; not generally used in pregnancy. | Lactation: Excretion in milk unknown; oral absorption by the infant unlikely (peptide) — use with caution. | Storage: Refrigerate 2–8°C; do not freeze; protect from light. After first use, the in-use cartridge may be kept refrigerated for the labelled period (commonly up to ~4 weeks) — follow product instructions.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.267,,,,"Active malignancy; acute critical illness (post open -heart/abdominal surgery, multiple trauma, acute respiratory failure — increased mortality); proliferative/pre -proliferative diabetic retinopathy; closed epiphyses (for growth promotion); Prader-Willi with severe obesity or severe respiratory impairment (risk of sudden death); hypersensitivity.","Glucocorticoids (esp. supraphysiologic) blunt growth response — adjust; somatropin alters CYP -metabolised drug clearance (e.g. corticosteroids, sex steroids, ciclosporin, anticonvulsants) — monitor; may increase insulin/oral-hypoglycaemic requirements; oral oestrogens increase the somatropin dose needed.",no
sorafenib,mg,no,"Oral: take twice daily without food (or with a low-fat meal), at least 1 hour before or 2 hours after eating; swallow tablets whole. Counsel on hand-foot skin reaction and home blood-pressure monitoring.","Therapeutic class: Multikinase inhibitor (VEGFR/RAF) | Indications: Hepatocellular carcinoma; advanced renal-cell carcinoma; differentiated thyroid cancer,. | Dosage form and strength: Tablet 200 mg. | Adult dosing: Hepatocellular/renal carcinoma: 400 mg twice daily. Differentiated thyroid cancer: 400 mg twice daily. Take without food (or a low-fat meal), ≥1 h before or 2 h after eating. | Pediatric dosing: Not used in children. | Renal/hepatic adjustment: Renal: no specific adjustment (caution; no data on dialysis). Hepatic: no adjustment for Child-Pugh A/B; not studied in C. Reduce to 400 334 mg once daily, then 400 mg every other day, for hand-foot reaction/toxicity. | Administration: Oral: take twice daily without food (or with a low-fat meal), at least 1 hour before or 2 hours after eating; swallow tablets whole. Counsel on hand-foot skin reaction and home blood-pressure monitoring. | Prescriber authority: Oncology specialist prescribing | Additional notes: Monitor BP and hand-foot reaction; hold before surgery (wound healing).","Cautions and warnings: Hypertension; hand-foot skin reaction; bleeding; arterial thromboembolism; GI perforation; QT prolongation; impaired wound healing (stop before surgery). | Adverse drug reactions: Hand-foot skin reaction, rash, diarrhoea, hypertension, fatigue, bleeding, hypophosphataemia. | Monitoring: Blood pressure; skin; bleeding; QT/electrolytes if relevant; response. | Pregnancy category: D – contraindicated | Lactation: Contraindicated | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.333,,,,Pregnancy; hypersensitivity.,CYP3A4/UGT1A1 interactions; QT-prolonging drugs; warfarin effect altered.,no
sotalol,mg,no,Oral; initiate/up-titrate with continuous ECG monitoring.,"Therapeutic class: Antiarrhythmic (Class III) / Beta blocker | Indications: Life-threatening ventricular arrhythmias; maintenance of sinus rhythm in symptomatic atrial fibrillation/flutter. | Dosage form and strength: Tablet 80 mg. | Adult dosing: Atrial fibrillation/flutter (rhythm control):Initial: 80 mg twice daily Titration: Increase every 3–5 days (based on QTc, renal function, and response) to 160 mg or 240 mg twice daily Max: 320–480 mg/day in divided doses. Ventricular arrhythmias: 80–160 mg twice daily; up to 240 mg twice daily | Pediatric dosing: Off-label use only (not FDA -approved for children); reserved for refractory supraventricular or ventricular arrhythmias when other agents fail. Oral dose: 2–4 mg/kg/day in 2 divided doses (max ~160–320 mg/day) | Renal/hepatic adjustment: Renal: Dose adjustment by CrCl: CrCl >60 mL/min: every 12h, CrCl 40–60: every 24h (or reduce dose), CrCl <40: avoid or use very low doses with cardiology input Hepatic: no adjustment. | Administration: Oral; initiate/up-titrate with continuous ECG monitoring. | Prescriber authority: All physicians may prescribe | Additional notes: Give ≥5 doses before dose adjustment. Renal impairment: extend interval; contraindicated if CrCl <40 mL/min in AF/flutter. May need dose reduction and interval increase in haemodialysis. Anticholinergic Drugs ▪ Anticholinergics","Cautions and warnings: QT prolongation/torsades – initiate with ECG monitoring; correct electrolytes. | Adverse drug reactions: Bradycardia, chest pain, palpitation, fatigue, dizziness, dyspnoea, oedema, QT prolongation. | Monitoring: ECG/QT, heart rate, electrolytes, renal function. | Pregnancy category: B | Lactation: Compatible | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.42,,,,Asthma; sinus bradycardia/2nd-3rd degree block; long-QT; severe renal impairment (AF); cardiogenic shock.,"Additive QT and bradycardia with other antiarrhythmics, QT drugs and diuretics (hypokalaemia).",no
spiramycin,unit,no,"Per approved product labelling – oral, may be taken with or without food.","Therapeutic class: Antibiotic, Macrolide | Indications: Susceptible infections of the respiratory tract, oropharynx, skin and genital tract; toxoplasmosis in pregnancy (to reduce vertical transmission). | Dosage form and strength: Spiramycin (tablet/oral) 250 mg, 500 mg. | Adult dosing: Adults: 6–9 million international units/day (2–3 g/day) in 2–3 divided doses. Toxoplasmosis in pregnancy: 1 g (3 million units) every 8 hours. | Pediatric dosing: Children: 1.5–3 million units/10 kg/day in 2–3 divided doses (approximately 50–75 mg/kg/day). | Renal/hepatic adjustment: Renal impairment: no specific adjustment. Hepatic impairment: caution (hepatic elimination). | Administration: Per approved product labelling – oral, may be taken with or without food. | Prescriber authority: All physicians may prescribe | Additional notes: First-line for toxoplasmosis in pregnancy to reduce fetal transmission. ▪ Lincosamide","Cautions and warnings: Hepatic impairment; QT prolongation; G6PD deficiency. | Adverse drug reactions: Gastrointestinal disturbance, nausea, rash; rare QT prolongation. | Monitoring: Symptom response; hepatic function with prolonged use. | Pregnancy category: Used in pregnancy for toxoplasmosis. | Lactation: Excreted in breast milk – use with caution | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.191,,,,Hypersensitivity to spiramycin or other macrolides.,Fewer CYP interactions than erythromycin; additive QT with other QT drugs; may reduce levodopa absorption.,no
spironolactone,mg,no,Oral with food.,"Therapeutic class: Potassium-sparing diuretic (aldosterone antagonist) | Indications: Heart failure (NYHA III –IV); oedema of cirrhosis and nephrotic syndrome; primary hyperaldosteronism; resistant hypertension (add - on); off-label acne, hirsutism. | Dosage form and strength: Tablet 25 mg; oral liquid 25 mg/5 mL. | Adult dosing: Heart failure: 12.5–50 mg once daily. Oedema/ascites: 25–200 mg/day. Resistant HTN: 25–50 mg/day. | Pediatric dosing: Children: 1–3 mg/kg/day in 1–2 divided doses; monitor potassium. | Renal/hepatic adjustment: Renal: GFR 30–50 – start 12.5 mg/day (hyperkalaemia risk); avoid if GFR <30. Hepatic: caution. | Administration: Oral with food. | Prescriber authority: Restricted to Registrars & Consultants | Additional notes: GFR 30–50 mL/min in heart failure: consider starting 10 mg/day (hyperkalaemia risk). Monitor potassium and renal function. Diuretics – Osmotic ▪ Osmotic Diuretics","Cautions and warnings: Hyperkalaemia (monitor potassium and renal function); gynaecomastia. | Adverse drug reactions: Arrhythmia, breast tenderness/gynaecomastia, hyperkalaemia, confusion, diarrhoea, dizziness, drowsiness, dry mouth. | Monitoring: Potassium and renal function (especially with ACE/ARB); blood pressure. 64 | Pregnancy category: C | Lactation: Excreted in breast milk / not recommended | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.63,,,,Hyperkalaemia; severe renal impairment (anuria/acute kidney injury); Addison disease; concurrent eplerenone/K-sparing agents.,Hyperkalaemia with ACE inhibitors/ARBs/K supplements; raised lithium and digoxin; NSAIDs reduce effect.,no
streptokinase,unit,no,IV,"Package size / initial strength: 750,000 units | Diluents: NS, D5W Reconstitution | Preparation, administration and stability: NS, D5W Reconstitution Reconstitution Volume 5 ml Concentration After Reconstitution 150,000 units/ml IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults Do NOT administer IV push Dilute 250,000 units to get a total volume of 50 ml 5000 U/ml 30, 000 U/ml 30 minutes Dilute 1,500,000 units to get a total volume of 50 to 250 ml 30,000 U to 6000 U/ml 60 minutes Pediatrics No data available Neonates No data available Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator High Alert Medication (HAM). Gently roll and tilt the vial when mixing; do not shake. 24 hours 24 hours 24 hours: (30,000 and 5000 U/ml in D5W or NS) 24 hours: (15000 U/m in D5W) * Final Concentration: For the final product after dilution. ** Maximum Concentration: For fluid restricted patients. 218",,"JSH Sterile Preparations Manual v2, 2026 — Approved by P&T Committee (Dr. Hafiz Malhan)",JSH 2026,IV Sterile Preparations Manual p.216,,,,,,no
streptomycin,mg,no,"IM: inject deep IM into a large muscle mass; midlateral thigh muscle is the preferred site in children (midlateral thigh or upper outer quadrant of the buttock in adults); rotate injection sites. IV (off -label): after dilution, infuse over 30 to 60 minutes.","Therapeutic class: Antibiotic, Aminoglycoside / Antitubercular agent | Indications: Part of combination therapy for active tuberculosis; with other agents for streptococcal/enterococcal endocarditis, mycobacterial infections, plague, tularaemia and brucellosis. | Dosage form and strength: Injection 1 g. | Adult dosing: Adults: IM 15–30 mg/kg/day (or 1–2 g/day). Tuberculosis (daily): 15 mg/kg/day (max 1 g). Enterococcal endocarditis: 1 g every 12 hours for 2 weeks then 500 mg every 12 hours for 4 weeks (with penicillin). Tularaemia: 1–2 g/day in divided doses for 7–10 days. Plague: 15 mg/kg or 1 g every 12 hours until afebrile for ≥3 days. | Pediatric dosing: Children: IM 20–40 mg/kg/day (maximum 1 g/day). Directly observed therapy (twice weekly): 25–30 mg/kg (maximum 1.5 g). | Renal/hepatic adjustment: Load 1 g IM, then: CrCl 50–80 mL/min – 7.5 mg/kg every 24 h; CrCl 10–50 mL/min – 7.5 mg/kg every 24–72 h; CrCl <10 mL/min – 7.5 mg/kg every 72–96 h. Haemodialysis: 50–75% of the initial loading dose at the end of dialysis. | Administration: IM: inject deep IM into a large muscle mass; midlateral thigh muscle is the preferred site in children (midlateral thigh or upper outer quadrant of the buttock in adults); rotate injection sites. IV (off -label): after dilution, infuse over 30 to 60 minutes. | Prescriber authority: All physicians may prescribe | Additional notes: IM administration; not recommended IV by the manufacturer. Pronounced vestibular toxicity. Macrolides and lincosamides Macrolides have an antibacterial spectrum similar to, but broader than, penicillin and are useful alternatives in penicillin-allergic patients. They are active against many gram -positive and some gram -negative organisms and against atypical pathogens. The principal adverse effects are gastrointestinal disturbance and, with several agents, QT prolongation through CYP3A4-mediated interactions. ▪ Macrolides | Package size / initial strength: 1 g | Diluents: NS, D5W Reconstitution | Preparation, administration and stability: NS, D5W Reconstitution Reconstitution Volume 4.2 ml 3.2 ml 1.8 ml Concentration After Reconstitution 200 mg/ ml 250 mg/ ml 400 mg/ ml IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults Do NOT administer IV push Dilute 200 to 400 mg to get a total volume of 20 to 80 ml 5 to 10 mg/ml 10 mg/ml 30 to 60 minutes Pediatrics Do NOT administer IV push Dilute 200 to 400 mg to get a total volume of 20 to 80 ml 5 to 10 mg/ml 10 mg/ml 30 to 60 minutes Neonates No data available Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator Look-Alike and Sound-Alike (LASA) medication. Protect intact and Reconstituted vials from light. 7 days - 24 hours - * Final Concentration: For the final product after dilution. ** Maximum Concentration: For fluid restricted patients. 217","Cautions and warnings: Pregnancy; renal impairment; infants and the elderly; avoid prolonged therapy. | Adverse drug reactions: Ototoxic (especially vestibular) and nephrotoxic effects, neuromuscular blockade, allergic reactions. | Monitoring: Renal function, serum levels where available, audiometry/vestibular function. | Pregnancy category: D | Lactation: Enters breast milk (considered compatible by some sources) 188 | Storage: Store at room temperature; protect from light.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.187 | IV Sterile Preparations Manual p.215,,,,Myasthenia gravis.,Additive nephro -/ototoxicity with other nephrotoxins; potentiates neuromuscular blockers.,no
sucralfate,mg,no,Take on an empty stomach 1 h before meals and at bedtime; separate other drugs by ≥2 h.,"Therapeutic class: Mucosal protectant | Indications: Duodenal/gastric ulcer; stress-ulcer prophylaxis; mucosal protection. | Dosage form and strength: Tablet 1 g. | Adult dosing: Oral: 1 g 4 times daily on an empty stomach (1 h before meals and at bedtime), or 2 g twice daily; maximum 8 g/day. | Pediatric dosing: Children: 40–80 mg/kg/day in 4 divided doses (off -label); give on empty stomach. | Renal/hepatic adjustment: Renal: caution – aluminium accumulation in chronic kidney disease; avoid prolonged use. Hepatic: no adjustment. | Administration: Take on an empty stomach 1 h before meals and at bedtime; separate other drugs by ≥2 h. | Prescriber authority: All physicians may prescribe | Additional notes: Give on empty stomach; separate other drugs by ≥2 h. 11 ▪ Misoprostol","Cautions and warnings: Caution in renal impairment (aluminium absorption); may cause bezoar; reduces absorption of many drugs. | Adverse drug reactions: Constipation, dry mouth, nausea. | Monitoring: Renal function in chronic kidney disease (aluminium). | Pregnancy category: B | Lactation: Minimal absorption / compatible | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.10,,,,Hypersensitivity.,"Reduces absorption of fluoroquinolones, levothyroxine, phenytoin, digoxin – separate by ≥2 h.",no
sugammadex,mg,no,"Give as a single rapid IV bolus over ~10 sec into a running line; dose to actual body weight. It only reverses aminosteroidal NMBs (rocuronium/vecuronium) — NOT atracurium/cisatracurium/suxamethonium. Advise women on hormonal contraception that a dose is equivalent to a missed dose — use additional non-hormonal contraception for 7 days. Monitor for recurrence of block if under-dosed, and for hypersensitivity/bradycardia.","Therapeutic class: Modified gamma-cyclodextrin — a selective relaxant-binding agent that encapsulates aminosteroidal neuromuscular blockers. | Indications: Rapid reversal of rocuronium- (or vecuronium-) induced blockade, including deep block and immediate reversal after an RSI dose. | Dosage form and strength: 100 mg/mL injection. | Adult dosing: Routine reversal at reappearance of T2: 2 mg/kg IV . Deep block (post-tetanic count 1–2, no T1): 4 mg/kg IV . Immediate reversal (~3 min after rocuronium 1.2 mg/kg): 16 mg/kg IV . Dose to ACTUAL body weight; give as a single rapid IV bolus over ~10 sec; recovery to TOF ≥0.9 usually within ~2–3 min. | Pediatric dosing: ≥2 years: 2 mg/kg IV at reappearance of T2 (moderate block); the 4 and 16 mg/kg regimens are not established in children 453 | Renal/hepatic adjustment: Severe renal impairment (CrCl <30 mL/min) or dialysis: not recommended (the sugammadex–rocuronium complex is renally cleared and accumulates). Mild-moderate renal impairment: no adjustment. Hepatic impairment: no adjustment. | Administration: Give as a single rapid IV bolus over ~10 sec into a running line; dose to actual body weight. It only reverses aminosteroidal NMBs (rocuronium/vecuronium) — NOT atracurium/cisatracurium/suxamethonium. Advise women on hormonal contraception that a dose is equivalent to a missed dose — use additional non-hormonal contraception for 7 days. Monitor for recurrence of block if under-dosed, and for hypersensitivity/bradycardia. | Prescriber authority: Restricted to anaesthesia. | Additional notes: Reverses even deep/immediate rocuronium block (2 / 4 / 16 mg/kg by depth); avoid in severe renal failure; counsel about reduced hormonal-contraceptive efficacy for 7 days.","Cautions and warnings: Reduces the efficacy of hormonal contraceptives (7-day rule); rare anaphylaxis and marked bradycardia (occasionally cardiac arrest); recurrence of block if under-dosed; prolonged effect in severe renal impairment. | Adverse drug reactions: Hypersensitivity/anaphylaxis, bradycardia, nausea/vomiting, transient cough, recurrence of block. | Monitoring: ECG/HR (have atropine ready for bradycardia), neuromuscular recovery (TOF ≥0.9), signs of hypersensitivity. | Pregnancy category: Limited data; use only if clearly needed. (FDA category B.) | Lactation: Limited data; a brief single dose is likely compatible — a short feed interruption further limits exposure. | Storage: Store at room temperature; do not freeze; protect from light.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.452,,,,Hypersensitivity to sugammadex.,Binds toremifene and fusidic acid (competition) and may transiently lower free fusidic-acid/toremifene levels. Reduces hormonal-contraceptive efficacy (treat as one missed dose). Displacement interactions possible with highly protein-bound drugs (rare).,no
sulfasalazine,mg,no,Swallow EC tablet whole with food and adequate fluids.,"Therapeutic class: Aminosalicylate / DMARD | Indications: Ulcerative colitis (treatment and maintenance); rheumatoid arthritis. | Dosage form and strength: Enteric-coated tablet 500 mg. | Adult dosing: UC: 1–2 g initially, up to 3–4 g/day acute, maintenance 2 g/day. RA: 0.5–1 g/day titrated to 2–3 g/day. | Pediatric dosing: Children ≥2 years (UC): 40–60 mg/kg/day acute, maintenance 20–30 mg/kg/day in divided doses. JIA: 30–50 mg/kg/day. | Renal/hepatic adjustment: Renal: caution – ensure adequate hydration; risk of crystalluria. Hepatic: caution; monitor LFTs. | Administration: Swallow EC tablet whole with food and adequate fluids. | Prescriber authority: All physicians may prescribe | Additional notes: RA: initial 0.5–1 g/day, titrate to 2–3 g/day. Monitor CBC and LFTs. ▪ Immunomodulators","Cautions and warnings: Monitor CBC and LFTs; maintain hydration; reversible oligospermia; may colour urine/skin orange. | Adverse drug reactions: Dizziness, headache, photosensitivity, anorexia, reversible oligospermia, blood dyscrasias. | Monitoring: CBC and LFTs (baseline then periodically); renal function. | Pregnancy category: C | Lactation: Enters breast milk / use with caution | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.16,,,,Sulfonamide or salicylate hypersensitivity; intestinal/urinary obstruction; porphyria; G6PD deficiency (caution).,Reduces folate and digoxin absorption; additive myelosuppression with azathioprine/6-MP. 17,no
sumatriptan,mg,no,"Oral • • • • • • • • • • (Astagraf XL(R)) Take consistently in the morning, on an empty stomach at least 1 hour before or 2 hours after a meal (Astagraf XL(R)) Swallow whole with liquid; do not chew, divide, or crush extended-release capsules (Astagraf XL(R)) Give a missed dose up to 14 hours after the scheduled time; if beyond 14 hours, wait until the usual scheduled time the following morning (Envarsus XR(R)) Take in the morning at the same time each day on an empty stomach (Envarsus XR(R)) Do not chew, divide, or crush extended -release tablets; swallow tablet whole with plenty of water (Envarsus XR(R)) Missed dose may be taken up to 15 hours after the scheduled administration time; do not double the dose to make up f or a missed dose . (Prograf(R)) May be taken with or without food but should be taken the same way to maintain consistency; administration with food significantly decreases the rate and extent of absorption (Prograf(R)) Cyclosporine or tacrolimus should be discontinued at least 24 hours prior to institution of the other drug; delays longer than 24 hours may be used in patients with elevated levels of either drug (Prograf(R) granules)","Therapeutic class: Antimigraine (5-HT1 agonist / triptan) | Indications: Acute migraine attacks; cluster headache (SC). | Dosage form and strength: Tablet 50 mg and 100 mg; injection 6 mg/0.5 mL (SC). | Adult dosing: Acute migraine: oral 50–100 mg, may repeat after ≥2 h (max 300 mg/day). SC: 6 mg, may repeat after ≥1 h (max 12 mg/day). | Pediatric dosing: Adolescents (specialist): nasal/oral per product; routine use limited. | Renal/hepatic adjustment: Renal: caution. Hepatic: avoid in severe impairment; lower oral dose in mild-moderate. | Administration: Oral • • • • • • • • • • (Astagraf XL(R)) Take consistently in the morning, on an empty stomach at least 1 hour before or 2 hours after a meal (Astagraf XL(R)) Swallow whole with liquid; do not chew, divide, or crush extended-release capsules (Astagraf XL(R)) Give a missed dose up to 14 hours after the scheduled time; if beyond 14 hours, wait until the usual scheduled time the following morning (Envarsus XR(R)) Take in the morning at the same time each day on an empty stomach (Envarsus XR(R)) Do not chew, divide, or crush extended -release tablets; swallow tablet whole with plenty of water (Envarsus XR(R)) Missed dose may be taken up to 15 hours after the scheduled administration time; do not double the dose to make up f or a missed dose . (Prograf(R)) May be taken with or without food but should be taken the same way to maintain consistency; administration with food significantly decreases the rate and extent of absorption (Prograf(R)) Cyclosporine or tacrolimus should be discontinued at least 24 hours prior to institution of the other drug; delays longer than 24 hours may be used in patients with elevated levels of either drug (Prograf(R) granules) | Prescriber authority: All physicians may prescribe | Additional notes: Do not combine with ergotamine within 24 h. ▪ Ergot alkaloid","Cautions and warnings: Cardiovascular risk – assess before first dose; medication -overuse headache; serotonin syndrome. | Adverse drug reactions: Chest/throat tightness, flushing, tingling, dizziness, drowsiness. | Monitoring: Cardiovascular risk before first dose; chest symptoms; medication- overuse headache. | Pregnancy category: Use only if clearly needed | Lactation: Avoid breastfeeding for ~12 h after dose | Storage: Room temperature; protect from light.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.161,,,,"Ischaemic heart disease, coronary vasospasm, uncontrolled hypertension; previous stroke/TIA; peripheral vascular disease; concurrent ergotamine or recent MAO inhibitors. 162",Avoid within 24 h of ergotamine; serotonin syndrome with SSRIs/SNRIs/MAOIs.,no
sunitinib,mg,no,"Oral: take once daily, with or without food, following the cyclic schedule (e.g. 4 weeks on, 2 weeks off); swallow capsules whole. Avoid grapefruit.","Therapeutic class: Multikinase inhibitor (VEGFR/PDGFR/KIT) | Indications: Renal-cell carcinoma; gastrointestinal stromal tumour (imatinib- resistant/intolerant); pancreatic neuroendocrine tumours,. | Dosage form and strength: Capsule 12.5 mg, 25 mg and 50 mg. | Adult dosing: GIST/renal carcinoma: 50 mg once daily for 4 weeks, then 2 weeks off (6-week cycle). Pancreatic neuroendocrine tumour: 37.5 mg once daily continuously. With/without food. | Pediatric dosing: Not used in children. | Renal/hepatic adjustment: Renal: no specific adjustment. Hepatic: no adjustment Child-Pugh A/B; not studied in C. Adjust in 12.5 mg steps for toxicity; reduce with strong CYP3A4 inhibitors/inducers. | Administration: Oral: take once daily, with or without food, following the cyclic schedule (e.g. 4 weeks on, 2 weeks off); swallow capsules whole. Avoid grapefruit. | Prescriber authority: Oncology specialist prescribing | Additional notes: Monitor BP, LVEF and thyroid function.","Cautions and warnings: Hypertension; cardiotoxicity (reduced LVEF); QT prolongation; hand- foot reaction; hypothyroidism; bleeding; impaired wound healing. | Adverse drug reactions: Hypertension, fatigue, hand-foot reaction, diarrhoea, mucositis, hypothyroidism, cardiotoxicity, skin/hair discolouration. | Monitoring: Blood pressure; cardiac function (LVEF); thyroid function; full blood count; response. 335 | Pregnancy category: D – contraindicated | Lactation: Contraindicated | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.334,,,,Pregnancy; hypersensitivity.,CYP3A4 inhibitors/inducers; QT-prolonging drugs.,no
