generic_name,unit,auto_calculate,route,reference_regimen,warnings,source_name,source_edition,source_ref
hyoscine butylbromide,mg,no,IVP IV inf,Strength (name column): 20mg. Initial strength: 20mg/ ml. Diluents: NS D5W. Final concentration (IVP/IVPB): Undiluted IVP / 0.4mg/ml IVPB. Standard preparation: Premixed: 20mg/50ml D5W 20mg/50ml NS. Maximum concentration: 0.4mg/ml. Preparation at maximum concentration: Premixed: 20mg/50ml D5W 20mg/50ml NS. Vial stability (RT/Ref): NA RT / NA Ref. Premixed stability (RT/Ref): 8 hrs RT / NA Ref. Rate of administration: IVP: 1 mg/m int IVP / IVPB: 30 mint IVPB.,Special conditions: Can be given IM undiluted | Monitoring: -IOP -HR -Urine output | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.21
imipenem- cilastatin sodium,mg,no,IV inf,Initial strength: 50mg/ ml vial 500mg/100 ml premix. Diluents: NS D5W. Reconstitution volume: 10 ml SWFI. Final concentration (IVP/IVPB): 5mg/ ml. Standard preparation: 500mg/ 100ml NS or D5W. Maximum concentration: 5mg/ ml. Preparation at maximum concentration: 500mg/ 100ml NS or D5W. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 4 hrs / 24 hrs. Rate of administration: IVPB: (500mg- 30 min) (1g- 60 min).,"Special conditions: Can be given IM Suspension for IM administration should be reconstituted with 1% lidocaineHCl without epinephrine | Monitoring: CBC KFT RFT | Y-site compatibility: Compatibility Acyclovir, …etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.22
indomethacin,mg,no,IV inf IVP,Initial strength: 1mg/ml. Diluents: NS. Reconstitution volume: 1-2ml NS or SWFI (Preservative free). Final concentration (IVP/IVPB): 1mg/ml / 1mg/ml. Standard preparation: 1mg/ml. Maximum concentration: 1mg/ml. Preparation at maximum concentration: 1mg/ml. Vial stability (RT/Ref): 24 hrs. Premixed stability (RT/Ref): 24 hrs Do not dilute further Do not use dextros e. Rate of administration: IVP: 3-5 mint / IVPB: 20-60 mint.,Special conditions: -Avoid extravasations -IM not recommended -Protect from light | Monitoring: -KFT -LFT | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.22
infliximab,mg,no,IVinf,"Initial strength: 10mg/ ml. Diluents: NS. Reconstitution volume: 10 ml SWFI. Final concentration (IVP/IVPB): 0.4mg/ml. Standard preparation: dose/250ml NS. Maximum concentration: 4mg/ml. Preparation at maximum concentration: dose/250ml NS. Vial stability (RT/Ref): 3hr / 24 hrs. Premixed stability (RT/Ref): 3 hrs / 24 hrs. Rate of administration: IVPB: 2 hr patients on maintenanc e therapy who have tolerated at least three prior 2- hour infusions, a shorter infusion time of a minimum of 1 hour may be considered.","Special conditions: IV infusion through a low- protein-binding filter (pore size 1.2 micron or less) over at least 2 hours | Monitoring: Vital sign Sign of infection, LFT","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.22
iron dextran,mg,no,IVP IV inf,Initial strength: 50mg/ ml. Diluents: NS. Final concentration (IVP/IVPB): 10mg/ ml / 0.4mg/ ml. Standard preparation: 100mg/ 250ml NS. Maximum concentration: 1mg/ ml. Preparation at maximum concentration: 100mg/ 100ml NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24 hrs / 24 hrs. Rate of administration: IVP: 1 mL/ minu te / IVPB: 2-6 hrs.,Special conditions: -IV push not recommended - Initial test dose (prior to first dose only) | Monitoring: Body weight CBC KFT LFT | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.22
iron saccharate,mg,no,IVP IV inf,Initial strength: 20mg/ ml. Diluents: NS. Final concentration (IVP/IVPB): Undiluted injection into the venous limb of a dialyser / 1mg/1ml. Standard preparation: Premixed 100mg/ 100ml NS. Maximum concentration: 1mg/1ml. Preparation at maximum concentration: Premixed 100mg/ 100ml NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24 hrs / 24 hrs. Rate of administration: IVP: 1 mL/ minu te (i.e. 5 minu tes per ampo ule) / IVPB: Use volumetric infusion device as follows: give 100 mg over at least 15 minutes; give 200 mg over at least 30 minutes.,"Special conditions: Initial test dose (prior to first dose only) -Infusion: dilute 300mg/250ml NS infuse at least 1.5 hrs, 400mg/250ml infuse at least 2.5 hrs, 500mg/250ml infuse at least 3.5 hrs | Monitoring: Hemoglob in Hematocr it -Serum Ferritin Transferr in | Y-site compatibility: No information","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.22
isoproterenol,mg,no,IV inf IVP,Strength (name column): 200mcg/ml. Initial strength: 0.2mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 0.2mg/ml prepared by IVP diluting 1 mL of the injection containing 0.2 mg/mL (1:5000) to a volume of 10 mL with 0.9% sodium chloride injection or 5% dextrose injection / 0.002mg/ ml IVPB. Standard preparation: 1mg/ 500ml D5W 1mg/ 500ml NS. Maximum concentration: 0.004mg/ ml. Preparation at maximum concentration: Premixed 2mg/ 500ml D5W 2mg/ 500ml NS. Vial stability (RT/Ref): Use fresh RT / NA Ref. Premixed stability (RT/Ref): 24 hrs RT / 24 hrs Ref. Rate of administration: IVP: Bolus IVP / IVPB: infusion IVPB.,"Special conditions: -Can be given IM And Subcutaneous -Protect from light and air | Monitoring: ECG Hemodyn amic -Heart rate Respirato ry rate -Arterial blood gas -Arterial blood pressure -CVP -Serum electrolyte -Serum glucose | Y-site compatibility: Na,famotidine, Bivalirudin,atracr ium …etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.22
kanamycin,mg,no,IV inf,Strength (name column): 1gm. Diluents: D5W NS. Final concentration (IVP/IVPB): 2.5mg/ml. Standard preparation: 500mg/ 200ml NS 500mg/ 200ml D5W 1g/400ml NS 1g/400ml D5W. Maximum concentration: 5mg/ml. Preparation at maximum concentration: 500mg/ 100ml NS 500mg/ 100ml D5W 1gm/ 200ml NS 1gm/200ml D5W. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24 hrs. Rate of administration: IVPB: 30-60 mint.,Special conditions: Can be given IM -Dose should be depend in IBW | Monitoring: KFT -Every 2-3 days peak and trough concentra tion -Hearing | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.23
l-carintine,mg,no,IVP IV inf,Strength (name column): 200mg/ml. Initial strength: 200mg/ml. Diluents: NS. Final concentration (IVP/IVPB): Undiluted / 0.5mg/ml. Standard preparation: 0.5mg/ml. Maximum concentration: 8mg/ml. Preparation at maximum concentration: 8mg/ml. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24 hours in PVC plastic bags. Rate of administration: IVP: 2-3 mint / IVPB: 30 minutes (loading dose) or 10– 30 minutes (subsequent doses).,Special conditions: Intermittent intravenous infusion (unlicensed use for valproate toxicity) | Monitoring: Carnitine levels (acyl and free) in plasma and urine -Blood glucose - Symptom s of deficiency | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.23
levofloxacin premixed,mg,no,IV inf,Strength (name column): 500mg/100ml. Initial strength: 5mg/ml. Diluents: NS D5W. Final concentration (IVP/IVPB): NA IVP / 5mg/ml IVPB. Standard preparation: Premixed 500mg/ 100ml. Maximum concentration: 5mg/ml. Preparation at maximum concentration: Premixed 500mg/100ml. Vial stability (RT/Ref): Use fresh RT / NA Ref. Premixed stability (RT/Ref): Use fresh RT / NA Ref. Rate of administration: IVP: NA IVP / IVPB: 30 minutes for 250 mg (at least 60 minutes for 500 mg) 750 mg over 90 mint IVPB.,"Special conditions: - Levofloxacin 250 mg = 255 mg levofloxacin hemihydrate (1) -Patients should be well hydrated and asked to drink fluids liberally to prevent crystalluria | Monitoring: -BP -KFT -LFT -Signs of tendon damage -Signs of CNS disorders - Symptom s of neuropath y -Blood glucose concentra tion-Signs of infection | Y-site compatibility: Adrenaline, amikacin, aminophylline, clindamycin, dexamethasone, dobutamine, dopamine..etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.23
levothyroxine,mg,no,IVP,Strength (name column): 200 mcg 500 mcg. Initial strength: 200mcg dose 40 Mcg/ml 500mcg dose 100mcg/ml. Diluents: NS. Reconstitution volume: 5ml NS. Final concentration (IVP/IVPB): 40–100 mcg/mL in NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): Use fresh. Rate of administration: IVP: 2–3 minu tes.,"Special conditions: -Large, sudden doses of IV levothyroxine may have cardiovascular risks -Protect from light | Monitoring: -T4 -TSH -Blood pressure -Heart rate | Y-site compatibility: No information","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.24
linezolid premixed,mg,no,IV inf,Strength (name column): 600mg/300ml bag. Initial strength: 2mg/ml. Diluents: NS D5W. Final concentration (IVP/IVPB): 2mg/ml. Standard preparation: Premixed 600mg/300ml D5W. Maximum concentration: 2mg/ml. Preparation at maximum concentration: Premixed 600mg/300ml D5W. Premixed stability (RT/Ref): Use fresh. Rate of administration: IVPB: 30–120 minutes.,"Special conditions: Check for minute leaks by squeezing the bag firmly if the bag leaks, do not use -Spike the bag using the blue- coloured port only (the white port should not be used) -Protect from light and freezing -Keep bags in foli laminate overwrap until used -The solution is a yellow color that can intensify with no affect on potency | Monitoring: FBC (including haemoglo bin, platelets, total and differenti ated leucocyte counts) -Signs of metabolic acidosis -Signs of supra- infection or superinfec tion impairme nt - U&Es -LFT | Y-site compatibility: Aciclovir, alfentanil, amikacin, aminophylline, aztreonam, calcium gluconate…etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.24
lorazepam,mg,no,IVP IV inf,Strength (name column): 4mg/ml 2mg/ml. Initial strength: 4mg/ml 2mg/ml. Diluents: D5W NS. Final concentration (IVP/IVPB): Dilute 1:1 IVP / 0.04mg/ ml IVPB. Standard preparation: 2mg/50ml NS 2mg/50 D5W. Maximum concentration: 0.08mg/ ml. Preparation at maximum concentration: Premixed 4mg/50ml NS 4mg/50ml D5W. Vial stability (RT/Ref): Discard After use RT / NA Ref. Premixed stability (RT/Ref): 24 hrs RT / NA Ref. Rate of administration: IVP: 2 mg/m in or 0.05 mg/k g IVP over 2–5 minu tes / IVPB: 0.2 mg/mL Continuous infusion IVPB.,"Special conditions: Intravenous injection (preferred route) -IV injection should be performed with extreme care to avoid inadvertent intra-arterial injection, which can cause arteriospasm possibly resulting in gangrene -Can be given IM -protect from light | Monitoring: Respirato ry and cardiovas cular status -Signs of propylene glycol toxicity for continuou s infusion or prolonged use -KFT -BP -HR -Symptom of anxiety | Y-site compatibility: Aciclovir, adrenaline, amikacin, atracurium, bumetanide, cefotaxime..etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.24
mannitol,mg,no,IV inf,"Strength (name column): 20%(20g/100ml) in 250 ml bottle. Initial strength: 100mg/ ml 200mg/ ml. Diluents: D5W. Final concentration (IVP/IVPB): Test dose (to assess adequate renal function) for oliguria 0.2 g/kg / 100mg/ ml. Standard preparation: 50g/ 500ml D5W. Maximum concentration: 200mg/ ml. Preparation at maximum concentration: 100g/ 500ml D5W. Vial stability (RT/Ref): 24 hrs. Premixed stability (RT/Ref): 24 hrs. Rate of administration: IVP: 3-5 mint / IVPB: 30–60 minutes using a giving set with an in- line filter for cerebral edema, elevated ICP, or preoperativ e in neurosurge ry.","Special conditions: Do not Refrigerate -Infusion via a central venous catheter is preferable because of the risk of damage to veins -Do not use solution that contain crystals, heating in hot water bath and vigorous shaking may be utilized for resolubilization. cool solution to body temperature before use -from age 1–73 were given a continuous infusion over 6– 100 hours (total dose 2–20 g/kg) | Monitoring: Respirato ry function Cardiovas cular status -serum electrolyte s and urine output -KFT Observati on of infusion site | Y-site compatibility: Aztreonam, cisatracurium, linezolid, ondansetron, piperacillin with tazobactam, remifentanil","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.25
meropenem,mg,no,IVP IV inf,Strength (name column): 500mg. Initial strength: 50mg/ ml. Diluents: D5W NS. Reconstitution volume: 10 ml SWFI. Final concentration (IVP/IVPB): 50mg/ ml IVP / 10mg/ ml IVPB. Standard preparation: 1g/ 100ml D5W Premixed 1g/ 100ml NS. Maximum concentration: 10mg/ ml. Preparation at maximum concentration: 1g/ 100ml D5W Premixed 1g/ 100ml NS. Vial stability (RT/Ref): immedia tely within 2 hour RT / 12 hrs Ref. Premixed stability (RT/Ref): Immedi ately with NS 4hrs D5W 1hrs RT / NS 24hrs D5W 4hrs Ref. Rate of administration: IVP: 5 mint IVP / IVPB: 15-30 mint IVPB.,"Special conditions: -IM administration has been used in the treatment of urinary tract infections and pneumonia in adults - Meropenem has been administered as a 3-hour infusion for the treatment of CNS infections -Laboratory interference: Positive direct and indirect Coombs' tests have been reported | Monitoring: -CBC -KFT -LFT -Signs of anaphylax is | Y-site compatibility: Aminophylline, dexamethasone, fluconazole, furosemide, gentamicin, metoclopramide, …etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.25
methylprednisoln e sodium succinate,mg,no,IVP IV inf,Strength (name column): 40mg 500mg. Initial strength: 40 mg dose 40mg/ ml 500mg dose 62.5mg/ml. Diluents: D5W NS. Reconstitution volume: 40mg dose 1ml of supplied diluents 500mg dose 8ml bacteriostatic SWFI. Final concentration (IVP/IVPB): 125mg/ml IVP / 2 mg/ ml Or in 50-250 ml IVPB. Standard preparation: 100mg/ 50ml D5W 1500mg/ 50ml NS. Maximum concentration: 5mg/ ml. Preparation at maximum concentration: 500mg/ 100ml D5W 500mg/ 100ml NS. Vial stability (RT/Ref): 48 hrs RT / NA Ref. Premixed stability (RT/Ref): 48 hrs RT / 48 hrs Ref. Rate of administration: IVP: 3-5 mint IVP / IVPB: Dose ≥2mg/kg or 250 mg/dose o ver 15-30 mint Dose 15 mg/kg or ≥ 500 mg/dose Over ≥ 30 mint Dose >15 mg/kg or ≤1g over 1 hrs IVPB.,"Special conditions: - Methylprednisoln e Acetate for deep IM only -Dose should be base on the lesser or ideal body weight or actual body weight -Rapid IV administration of large doses is associated with cardiovascular collapse - Methylprednisoln e Sodium succinate Can be given IM -Protect from light -Avoid IM injection of Methylprednisoln e acetate into the deltoid muscle due to high incidence of subcutaneous atrophy -Can be given by continuous infusion -don’t give iv push if the dos >250 mg - loading dose in 100 ml fluid | Monitoring: -Blood pressure -blood glucose Electrolyt es | Y-site compatibility: Aciclovir, , ceftazidime, dopamine, linezolid, metronidazole ..etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.26
metoclopramide,mg,no,IVP IV inf,Strength (name column): 10mg/2ml. Initial strength: 5mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): Undiluted Doses ≤ 10mg / 0.2mg/ ml. Standard preparation: 10mg/ 50ml D5W 10mg/ 50ml NS. Maximum concentration: 0.4mg/ml. Preparation at maximum concentration: 20mg/50ml D5W 20mg/50ml NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24 hrs. Rate of administration: IVP: 2 min / IVPB: ≥15 minutes.,"Special conditions: -May be given IM -degradation is indicated by yellow discoloration discard if present -Therapy with metoclopramide should not continue beyond 12 weeks, unless benefits of continued therapy clearly outweigh the risk of tardive dyskinesia -Protect from light during storage -Can be given by continuous infusion (Withdraw the required dose and add to 500 mL of infusion fluid) infusion over 8–12 hours | Monitoring: -Blood pressure -Irregular pulse -Altered conscious ness | Y-site compatibility: Aciclovir, aztreonam, ciprofloxacin, cisatracurium, fentanyl, fluconazole, foscarnet…etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.27
metronidazole,mg,no,IV inf,Strength (name column): 500mg/100ml. Initial strength: 5mg/ml. Final concentration (IVP/IVPB): 5mg/ ml. Standard preparation: Premixed 500mg/ 100ml. Maximum concentration: 5mg/ ml. Preparation at maximum concentration: Premixed 500mg/ 100ml. Premixed stability (RT/Ref): Use fresh. Rate of administration: IVPB: 30-60 min.,"Special conditions: -Protect from light -US boxed warning: Known to be carcinogenic in mice and rats -Do not remove unit from overwrap until ready for use | Monitoring: LFT - Symptom s of periphera l neuropath y or transient seizures -Signs of supra- infection or superinfec tion -FBC | Y-site compatibility: Aciclovir, (in the samebag), cefuroxime, etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.27
micafungin sodium,mg,no,IV inf,Strength (name column): 50mg. Initial strength: 10mg/ ml. Diluents: NS D5W. Reconstitution volume: Reconstitute with 5 mL NS or D5W injected the fluid slowly against the side of the inner wall of the vial to minimize foaming. Final concentration (IVP/IVPB): NA IVP / 0.5mg/ml IVPB. Standard preparation: 50mg/100ml NS 50mg/100ml D5W Gently invert orswirl to disperse the diluted solution but do not agitate in order to avoid foaming. Maximum concentration: 1.5mg/ml. Preparation at maximum concentration: 150mg/100ml NS 150mg/100ml D5W. Vial stability (RT/Ref): 24 hrs RT / NA Ref. Premixed stability (RT/Ref): 24 hrs RT / NA Ref. Rate of administration: IVP: NA IVP / IVPB: 60 mint IVPB.,"Special conditions: -Protect from light -Flush line with NS prior administration -Do not use diluents containing a bacteriostatic agent for reconstitution -Phlebitis and thrombophlebitis occur more frequently with administration via a peripheral line -Rapid infusions may result in histamine mediated reactions | Monitoring: -U&Es - FBC -LFT - Candida blood cultures | Y-site compatibility: Aminophylline, bumetanide, calcium gluconate, dopamine, furosemide, glyceryl trinitrate…etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.27
moxifloxacin,mg,no,IV inf,Initial strength: 1.6mg/ ml. Diluents: 0.8% saline. Final concentration (IVP/IVPB): 1.6mg/ ml. Standard preparation: 400mg/ 250ml. Maximum concentration: 1.6mg/ ml. Preparation at maximum concentration: 400mg/ 250ml. Premixed stability (RT/Ref): Use fresh. Rate of administration: IVPB: 60 min.,Special conditions: Do not Refrigerate | Monitoring: Pulse Serum K LFT,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.28
naloxone,mg,no,IVP IV inf,Initial strength: 0.4mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): Undiluted / 0.004mg/ ml. Standard preparation: 2mg/ 500ml D5W 2mg/ 500ml NS. Maximum concentration: 0.016mg/ ml. Preparation at maximum concentration: 4mg/ 250ml D5W 4mg/ 250ml NS. Premixed stability (RT/Ref): Use fresh / 24 hrs. Rate of administration: IVP: 1 min / IVPB: infusion.,Special conditions: Can be given IM | Monitoring: Body weight Pulse RR BP,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.28
nitroglycerin,mg,no,IV inf,Initial strength: 5mg/ ml. Diluents: D5W. Final concentration (IVP/IVPB): 0.2mg/ ml. Standard preparation: 50mg/ 250ml D5W. Maximum concentration: 0.4mg/ ml. Preparation at maximum concentration: 100mg/ 250ml D5W. Premixed stability (RT/Ref): 48 hrs / 7 days. Rate of administration: IVPB: infusion.,Special conditions: Use glass and non- PVC bottle only | Monitoring: Cardiac monitorin g hemodyna mics,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.28
octerotide,mg,no,IVP IV inf,Initial strength: 0.5mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 0.5mg/ ml / 0.005mg/ ml. Standard preparation: 0.5mg/ 100ml D5W 0.5mg/ 100ml NS. Maximum concentration: 0.005mg/ ml. Preparation at maximum concentration: 0.5mg/ 100ml D5W 0.5mg/ 100ml NS. Premixed stability (RT/Ref): 24 hrs / 24 hrs. Rate of administration: IVP: 3-5 min / IVPB: 30 min.,Special conditions: Refrigerate Can be given Subcutaneous | Monitoring: Blood Glucose LFT,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.28
ondansetron,mg,no,IVP IV inf,Initial strength: 2mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): Undiluted / 0.08mg/ ml. Standard preparation: 4mg/ 50ml D5W 4mg/ 50ml NS. Maximum concentration: 0.64mg/ ml. Preparation at maximum concentration: 32mg/ 50ml D5W 32mg/ 50ml NS (premixed). Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24 hrs / 24 hrs. Rate of administration: IVP: 2-3 min / IVPB: 15 min.,Special conditions: IM not recommended | Monitoring: LFT,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.28
penicillin g sodium,mg,no,IV inf,Initial strength: 200000U/ ml. Diluents: D5W NS. Reconstitution volume: 4.6 ml SWFI. Final concentration (IVP/IVPB): 20000U/ ml. Standard preparation: 1MU/ 50ml D5W 1MU/ 50ml NS. Maximum concentration: 80000U/ ml. Preparation at maximum concentration: 4MU/ 50ml D5W 4MU/ 50ml NS. Vial stability (RT/Ref): Use fresh / 3 days. Premixed stability (RT/Ref): 24 hrs / 7 days. Rate of administration: IVPB: 30 min.,Special conditions: Refrigerate | Monitoring: Hypersen sitivity,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.28
phytomenadione,mg,no,IVP IV inf,Initial strength: 2mg/ ml 10mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 0.4mg/ ml Or in 50 ml. Standard preparation: 20mg/ 50ml D5W 20mg/ 50ml NS. Maximum concentration: Dilute the dose at least in 10 ml. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): Use fresh. Rate of administration: IVP: 3-5 min / IVPB: 30 min.,Special conditions: Protect from light Can be given IM | Monitoring: LFT PT INR,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.28
piperacillin/ tazobactam,mg,no,IVP IV inf,Initial strength: 225mg/ ml. Diluents: D5W NS. Reconstitution volume: 10 ml SWFI 20 ml SWFI. Final concentration (IVP/IVPB): NO / 45mg/ ml. Standard preparation: 4.5g/ 100ml D5W 4.5g/ 100ml NS. Maximum concentration: 90 mg/ ml. Preparation at maximum concentration: 4.5g/ 50ml D5W 4.5g/ 50ml NS. Vial stability (RT/Ref): Use fresh / 24 hrs. Premixed stability (RT/Ref): 24 hrs / 7 days. Rate of administration: IVPB: 30 min.,Special conditions: Refrigerate Do not give IM | Monitoring: CBC KFT LFT Serum K,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.28
protamine sulfate,mg,no,IVP IV inf,Initial strength: 10mg/ ml. Diluents: D5W NS. Reconstitution volume: 5ml SWFI. Final concentration (IVP/IVPB): Undiluted IVP / 1mg/ ml IVPB. Standard preparation: 50mg/ 50ml D5W 50mg/ 50ml NS. Maximum concentration: 2mg/ ml. Preparation at maximum concentration: 50mg/ 25ml D5W 50mg/ 25ml NS. Vial stability (RT/Ref): Use fresh RT / NA Ref. Premixed stability (RT/Ref): Use fresh RT / NA Ref. Rate of administration: IVP: 1-3 min IVP / IVPB: 20 min IVPB.,Special conditions: Maximum 50mg in any 10 minute period | Monitoring: aPTT,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.28
ranitine,mg,no,IVP IV inf,Initial strength: 25mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 2.5mg/ ml (50 mg/20 ml ) / 1mg/ ml. Standard preparation: 50mg/ 50ml D5W 50mg/ 50ml NS. Maximum concentration: 1mg/ ml. Preparation at maximum concentration: 50mg/ 50ml D5W 50mg/ 50ml NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): Use fresh / 24 hrs. Rate of administration: IVP: 2-5 min / IVPB: 30 min.,Special conditions: Can be given IM | Monitoring: Body weight KFT,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.29
rifampicin,mg,no,IV inf,Initial strength: 60mg/ ml. Diluents: NS. Reconstitution volume: 10 ml SWFI. Final concentration (IVP/IVPB): 1.2mg/ ml. Standard preparation: 600mg/ 500ml NS. Maximum concentration: 6mg/ ml. Preparation at maximum concentration: 600mg/ 100ml NS. Vial stability (RT/Ref): 6 hrs. Premixed stability (RT/Ref): Use fresh. Rate of administration: IVPB: 30 min to 3 hrs.,"Special conditions: Do not Refrigerate Do not give IM | Monitoring: CBC KFT LFT Serum K, Na","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.29
salbutamol,mg,no,IVP IV inf,Initial strength: 0.5mg/ ml 1mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 50mcg/ ml / 10mcg/ ml. Standard preparation: 5mg/ 500ml D5W 5mg/ 500ml NS. Maximum concentration: 10mcg/ ml. Preparation at maximum concentration: 5 mg/ 500ml D5W 5 mg/ 500ml NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24 hrs / 24 hrs. Rate of administration: IVP: 3-5 min / IVPB: Infusion.,Special conditions: Can be given IM Can be given Subcutaneous | Monitoring: Blood glucose BP Body weight Serum K,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.29
trimethoprim+ sulfamethoxazole,mg,no,IV inf,Initial strength: SMX 80mg/ ml TMP 16mg/ ml. Diluents: D5W. Final concentration (IVP/IVPB): 0.64mg/ ml TMP. Standard preparation: 5ml/125ml D5W 10ml/250mlD5 W 15ml/500mlD5 W. Maximum concentration: 1.07mg/ ml. Preparation at maximum concentration: 5ml/ 75ml D5W. Premixed stability (RT/Ref): 5 mL conc. in 125 mL D5W is stable for 6 hr 5 mL conc. in 100 mL D5W is stable for 4 hr 5 mL conc. in 75 mL D5W is stable for 2 hr. Rate of administration: IVPB: 60-90 min.,"Special conditions: Do not Refrigerate Cannot be given IVP | Monitoring: CBC KFT RFT Serum K Serum Na | Y-site compatibility: Aciclovir, atracurium, aztreonam, esmolol, granisetron, labetalol…etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.29
vasopressin,mg,no,IVP IV inf,Initial strength: 20 U/ml (400mcg/m l). Diluents: D5W NS. Reconstitution volume: 10ml D5W. Final concentration (IVP/IVPB): 2U/ml IVP / 0.1U/ml IVPB. Standard preparation: 20U/200ml D5W or NS. Maximum concentration: 1U/ml. Preparation at maximum concentration: 20U/20ml D5W or NS. Vial stability (RT/Ref): Use fresh RT / NA Ref. Premixed stability (RT/Ref): NA RT / NA Ref. Rate of administration: IVP: 0.2- 1u/m i n IVP / IVPB: 15min IVPB.,"Special conditions: Can be given IM | Monitoring: Electrolyt e, vital sign, EKG, drowsines s | Y-site compatibility: Adrenaline (epinephrine), ciprofloxacin, fluconazole, gentamicin, imipenem with cilastatin, linezolid, meropenem, metronidazole","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.29
voriconazole,mg,no,IV inf,"Initial strength: 200mg powder. Diluents: D5W NS LR. Reconstitution volume: 19ml SWFI 10 mg/mL. Final concentration (IVP/IVPB): 0.5mg/ml. Standard preparation: 10mg/20ml D5W, LR, NS. Maximum concentration: 5mg/ml. Preparation at maximum concentration: 10mg/2ml D5W,LR, NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24hr. Rate of administration: IVPB: 3 mg/kg/hour over 1–2 hours.","Special conditions: Discard the vial if the vacuum of the vial does not pull the diluent into the vial | Monitoring: Renal function LFT Electrolyt e Culture, sensitivity | Y-site compatibility: Compatibility: Anidulafungin , Caspofungin, Ceftaroline, Doripenem","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.30
